County,Republican,Democratic,Total
Beaverhead,1896,853,3106
Big Horn,1789,1319,3321
Blaine,1291,1198,2655
Broadwater,671,439,1236
Carbon,1972,1353,3587
Carter,624,269,1003
Cascade,11588,13507,26803
Chouteau,1695,1216,3159
Custer,2831,1760,4876
Daniels,826,688,1584
Dawson,2650,1695,4568
Deer Lodge,1554,4208,6074
Fallon,990,477,1565
Fergus,3367,2070,6057
Flathead,7215,5253,14000
Gallatin,7433,3818,11978
Garfield,542,190,844
Glacier,1643,1723,3671
Golden Valley,332,194,553
Granite,626,502,1263
Hill,2970,3386,6669
Jefferson,798,820,1771
Judith Basin,804,606,1516
Lake,3358,1956,5999
Lewis and Clark,7979,5379,14115
Liberty,670,390,1144
Lincoln,2355,2677,5807
McCone,733,589,1405
Madison,1289,734,2286
Meagher,543,218,863
Mineral,483,576,1169
Missoula,9745,8398,20292
Musselshell,953,795,1863
Park,3063,1815,5340
Petroleum,211,98,335
Phillips,1353,1100,2632
Pondera,1530,1149,2888
Powder River,699,258,1076
Powell,1301,1206,2739
Prairie,635,270,937
Ravalli,3183,2080,5977
Richland,2381,1399,4016
Roosevelt,1947,1771,3885
Rosebud,1190,711,2109
Sanders,1459,1242,2996
Sheridan,1180,1275,2576
Silver Bow,5488,12626,19617
Stillwater,1347,676,2201
Sweet Grass,1043,336,1490
Teton,1697,1228,3109
Toole,1407,1048,2708
Treasure,298,188,527
Valley,2290,1926,4632
Wheatland,673,525,1300
Wibaux,347,252,655
Yellowstone,19898,11682,33857
