County,Democratic,Republican,Total
Beaverhead,1164,2414,4019
Big Horn,2453,1336,4239
Blaine,1316,1127,2893
Broadwater,603,1029,1966
Carbon,1854,2147,4762
Carter,150,522,765
Cascade,15707,14291,35006
Chouteau,1039,1660,3157
Custer,2115,2467,5329
Daniels,510,558,1312
Dawson,1903,1890,4673
Deer Lodge,3331,883,5010
Fallon,452,778,1516
Fergus,1866,3671,6194
Flathead,10452,16542,32225
Gallatin,10972,14559,29078
Garfield,107,562,746
Glacier,2292,1270,4095
Golden Valley,128,284,488
Granite,429,733,1407
Hill,3517,2601,7111
Jefferson,1775,2248,4801
Judith Basin,452,753,1338
Lake,4195,4723,10840
Lewis and Clark,11535,11665,26547
Liberty,379,634,1162
Lincoln,2705,3552,7866
McCone,390,615,1256
Madison,955,1984,3495
Meagher,281,505,936
Mineral,658,549,1615
Missoula,21874,16034,44382
Musselshell,652,1121,2076
Park,2564,3837,7448
Petroleum,62,186,290
Phillips,705,1392,2511
Pondera,1123,1438,2963
Powder River,236,663,1045
Powell,952,1274,2802
Prairie,259,417,780
Ravalli,5200,8138,16240
Richland,1614,2021,4568
Roosevelt,2118,1209,3997
Rosebud,1681,1413,3683
Sanders,1573,2043,4661
Sheridan,1187,832,2435
Silver Bow,11199,3909,17677
Stillwater,1282,1871,3800
Sweet Grass,469,1109,1782
Teton,1188,1701,3326
Toole,874,1203,2482
Treasure,171,237,498
Valley,1674,1838,4207
Wheatland,391,563,1088
Wibaux,197,284,613
Yellowstone,22992,26367,55882
